"id","name","name_short","starts_at_lt","ends_at_lt"
c3750c8e-690b-46eb-b3c0-cfa5b2c2dfcd,Технологическая практика (на летних площадках),ТП(нЛП),2021-09-01 00:00:00.000,2022-02-07 00:00:00.000
a94d0f90-11c0-4e57-80de-6e7c2f2b5c41,Технологическая практика (на летних площадках),ТПнЛП,2022-02-14 00:00:00.000,2022-07-18 00:00:00.000
c8acc7fa-5867-4f82-8c66-55c9ecdd4280,Технологическая практика (на летних площадках),ТП(нЛП),2022-02-14 00:00:00.000,2022-07-25 00:00:00.000
dac53260-c9bd-4202-9f0c-a1630baf6fe5,Технологическая практика по получению компетенций в области информационно-коммуникативных технологий,ИКТ-практика,2021-09-01 00:00:00.000,2022-02-07 00:00:00.000
"88c4e452-37cb-438e-808a-1fcc6c466650",Технологическая практика  (практика по организации контрольно-оценочной деятельности в начальной школе),ТППпОКОДвНШ,2021-09-01 00:00:00.000,2022-01-31 00:00:00.000
"53b4c661-96d3-48f9-9b25-33d592b16e11",Технологическая практика  (практика по организации контрольно-оценочной деятельности в начальной школе),ТППпОКОДвНШ,2021-09-01 00:00:00.000,2022-02-07 00:00:00.000
fe27aeec-882f-4aed-b54e-7d8b0bbcd688,Технологическая практика (практика по организации проектной и исследовательской деятельности учащихся),ТППпОПиИДУ,2022-02-14 00:00:00.000,2022-08-01 00:00:00.000
"46a540f8-224f-49a2-be9f-772421ac8a69",Технологическая (проектно - технологическая) практика,ТП,2021-09-01 00:00:00.000,2022-02-07 00:00:00.000
"4894c5ae-c5c4-4ea3-9448-782c698e280e",Технологическая (проектно - технологическая) практика,Техн. пр.,2021-09-01 00:00:00.000,2022-02-07 00:00:00.000
bd37dcbc-cece-48a9-ad33-226535693422,Технологическая (проектно-технологическая) практика,ТПТПрактика,2022-02-07 00:00:00.000,2022-08-01 00:00:00.000
"27cd8118-34fd-4e79-8f70-ec66256fa5cc",Технологическая (проектно-технологическая) практика,ТПТП,2022-02-14 00:00:00.000,2022-07-18 00:00:00.000
b1021f64-f0d0-4af1-a43e-6dc14a726717,Технологическая (проектно-технологическая) практика,Учебная практика,2021-09-01 00:00:00.000,2022-02-07 00:00:00.000
cd3a4bd0-333b-4319-9d3a-0d9559ba2f00,Технологическая (проектно-технологическая) практика,ТП4,2022-02-14 00:00:00.000,2022-07-11 00:00:00.000
"00711b94-8275-4b76-ad9e-acb4152bf057",Технологическая (проектно-технологическая) практика,Т(ПТ)П ,2021-09-06 00:00:00.000,2022-01-31 00:00:00.000
"54567d45-6007-44e7-8502-6a051271ca67",Технологическая (проектно-технологическая) практика,Тех.Практика,2022-02-14 00:00:00.000,2022-07-11 00:00:00.000
"84977807-f2fd-4eb2-821f-4792dfdc5427",Технологическая (проектно-технологическая) практика,Тех.Практика,2022-02-14 00:00:00.000,2022-07-11 00:00:00.000
"63ca572f-65c5-43a7-b538-cf04c1347b58",Технологическая (проектно-технологическая) практика,Т(ПТ)П (АТ),2021-09-01 00:00:00.000,2022-02-28 00:00:00.000
"6b4eed6a-74b0-4295-aff0-e9e5fefdc8cd",Технологическая (проектно-технологическая) практика,ТПТП,2022-02-14 00:00:00.000,2022-07-11 00:00:00.000
fb82a2c4-1fcd-456d-9db8-d0e7b374b517,Технологическая (проектно-технологическая) практика,ТП4,2022-02-14 00:00:00.000,2022-07-04 00:00:00.000
a94eca3d-895c-4da7-bc05-60c7f6246ce8,Технологическая (проектно-технологическая) практика,ТПТПП,2022-02-14 00:00:00.000,2022-07-11 00:00:00.000
"822faf5c-f143-42af-b24c-03ea6e156880",Технологическая (проектно-технологическая) практика,Т(П-Т)П,2022-02-14 00:00:00.000,2022-07-25 00:00:00.000
ab5b64df-e491-409a-85c1-9bf15a8698b2,Технологическая (проектно-технологическая) практика,Т(ПТ)П (АТ),2021-09-01 00:00:00.000,2022-02-28 00:00:00.000
"74f35eab-c323-47b1-802d-2e02762576c8",Технологическая (проектно-технологическая) практика,Т(ПТ)П,2021-09-01 00:00:00.000,2022-01-31 00:00:00.000
e2185da3-40d5-463c-a4ee-c3aa9f8af0d4,Технологическая (проектно-технологическая) практика,ПТП_5,2021-09-01 00:00:00.000,2022-02-07 00:00:00.000
c07f4a5f-d905-400e-b6a3-fd2e23305200,Технологическая (проектно-технологическая) практика,Т(ПТ)П (Конс),2022-01-10 00:00:00.000,2022-06-27 00:00:00.000
"4c6f395a-35ce-4e47-99d6-12aa0403f25e",Технологическая (проектно-технологическая) практика,Произв. практика,2022-02-07 00:00:00.000,2022-07-25 00:00:00.000
"4767c9ed-2f0f-44c9-b279-8f62a41b74b9",Технологическая (проектно-технологическая) практика ,ТП1,2021-09-01 00:00:00.000,2022-02-14 00:00:00.000
fc38cc6d-5882-4a23-bdbd-ba639047547c,Технологическая (проектно-технологическая) практика ,ПУ,2022-02-14 00:00:00.000,2022-07-25 00:00:00.000
d1f9d34c-281a-48a0-bac5-8ac3ac360daf,Технологическая (проектно-технологическая) практика ,Т(ПТ)П,2022-02-06 00:00:00.000,2022-07-11 00:00:00.000
"81c4a383-3b41-4877-af91-173195fbbb7d",Технологическая (проектно-технологическая) практика ,ТП1,2021-09-01 00:00:00.000,2022-02-14 00:00:00.000
cc8407a8-7c25-413d-b514-1c141411c1bd,Технологическая (проектно-технологическая) практика (геодезия),ТПГ,2022-02-14 00:00:00.000,2022-07-25 00:00:00.000
af571ce6-2b97-499d-83b1-3b1778dc0225,"Технологическая (проектно-технологическая) практика (геодезия, ландшафтное проектирование)",ТПТП,2022-02-14 00:00:00.000,2022-07-25 00:00:00.000
c9b7c96d-a832-416b-874e-9af22341b67e,Технологическая (проектно-технологическая) практика Геология и геоморфология) ,НИР ГеолГеом,2022-02-14 00:00:00.000,2022-08-01 00:00:00.000
