"id","name","starts_at_lt","ends_at_lt"
e0adcd39-bf8d-4d8f-9d77-1f0130d3fc65,ASP 06.06.01 Биологические науки: экология (биология) ОФО (4 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"65d4bf61-06e6-46d2-9928-837e6c6ffbac",ASP 06.06.01 Биологические науки: экология (биология) ОФО (5 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
bd856059-ccd8-45c4-83b6-df9086962fd9,ASP 06.06.01 Биологические науки: экология (биология) ОФО (6 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
b0c51459-085c-42e4-ab1e-02f0d668b0bc,ASP 06.06.01 Биологические науки: энтомология ОФО (3 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
b80924c1-876d-45ac-8a9b-fe128e30ebe5,ASP 06.06.01 Биологические науки: энтомология ОФО (4 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
d5fa45af-aca5-4323-b29d-279b5922d8e6,ASP 06.06.01 Биологические науки: энтомология ОФО (5 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"941eeb7e-352a-44c8-bb98-2283a38c0aa8","ASP 09.06.01 Информатика и вычислительная техника: математическое моделирование, численные методы и комплексы программ ОФО (1 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
dc237e4a-e44f-4cf9-bd0a-92ac8f030ee5,"ASP 09.06.01 Информатика и вычислительная техника: математическое моделирование, численные методы и комплексы программ ОФО (2 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"8e21c8dd-aedd-4ed6-b519-b8f6190152ca","ASP 09.06.01 Информатика и вычислительная техника: математическое моделирование, численные методы и комплексы программ ОФО (3 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"96df71eb-5444-4914-9358-675af6364d89","ASP 09.06.01 Информатика и вычислительная техника: математическое моделирование, численные методы и комплексы программ ОФО (4 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"9fb0efba-09f2-47ee-ae26-e0b1e4cafb00","ASP 09.06.01 Информатика и вычислительная техника: математическое моделирование, численные методы и комплексы программ ОФО (5 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"1db88217-fe1a-4155-861a-273e4a594e31","ASP 09.06.01 Информатика и вычислительная техника: математическое моделирование, численные методы и комплексы программ ОФО (6 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"9b4742cd-4987-4098-b4a0-450204d6cedc","ASP 10.06.01 Информационная безопасность: методы и системы защиты информации, информационная безопасность ОФО (1 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"42b9eb52-6a4d-45ac-95b8-af8225d77682","ASP 10.06.01 Информационная безопасность: методы и системы защиты информации, информационная безопасность ОФО (2 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"26564b33-10c3-408d-8a41-8046ba54370b","ASP 10.06.01 Информационная безопасность: методы и системы защиты информации, информационная безопасность ОФО (3 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
a7d1882f-6145-40ce-a084-4539153311d1,"ASP 10.06.01 Информационная безопасность: методы и системы защиты информации, информационная безопасность ОФО (4 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"74b46356-b974-41b3-9471-9806d9d35675","ASP 37.06.01 Психологические науки: общая психология, психология личности, история психологии ОФО (2 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"39f0bfe3-560e-4da5-8b13-916120ded1ab","ASP 37.06.01 Психологические науки: социальная психология ОФО, ЗФО (5 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"63ef35a3-80fb-4afa-9146-5416a575305d","ASP 38.06.01 Экономика: финансы, денежное обращение и кредит ОФО (3 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
